"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semipos_def"
9.44999727088602,0.511162362695809,0.0353296601744675,100,5,5,0,0,1,0
4.61807783548636,0.42530871483029,0.0173276697828607,100,5,5,0,0,1,0
7.40433094763396,0.405016214871519,0.0222006603622189,100,5,5,0,0,1,0
6.4296063048585,0.388871319021212,0.0184464060446474,100,5,5,0,0,1,0
8.8236599274531,0.430727376584006,0.0273516912929453,100,5,5,0,0,1,0
10.6829490195607,0.543453473327137,0.0423078872063488,100,5,5,0,0,1,0
9.91647638124626,0.505752843821805,0.0364284665909597,100,5,5,0,0,1,0
5.76409154917866,0.398747986510557,0.018020643140584,100,5,5,0,0,1,0
14.008268577225,0.600750473390599,0.062800838167449,100,5,5,0,0,1,0
18.1442810192465,0.689413882671276,0.0958396622207553,100,5,5,0,0,1,0
10.7252800388531,0.517384385163695,0.0407497556369293,100,5,5,0,0,1,0
7.1670609706359,0.431331171814682,0.0231756828931449,100,5,5,0,0,1,0
13.8162651141309,0.566971671740929,0.0573217971224211,100,5,5,0,0,1,0
9.17453324749973,0.48990761487509,0.0330621193320807,100,5,5,0,0,1,0
14.1827679914183,0.600324765117284,0.0632452172045408,100,5,5,0,0,1,0
11.0462037292832,0.550396276252188,0.0450789889790763,100,5,5,0,0,1,0
10.2563172486969,0.435585438846519,0.0325537777543182,100,5,5,0,0,1,0
4.80934132578304,0.331759365932754,0.0126016336934052,100,5,5,0,0,1,0
7.8706460368595,0.467995133680665,0.0272128048870743,100,5,5,0,0,1,0
10.6785002867332,0.512132945437268,0.0400627367170731,100,5,5,0,0,1,0
10.2332866495143,0.50799699289757,0.0390177711908744,100,5,5,0,0,1,0
8.86981146328539,0.474048163769624,0.0305913613850301,100,5,5,0,0,1,0
13.5836047862339,0.610166837397206,0.0611776764233196,100,5,5,0,0,1,0
16.3047403808518,0.598500132649204,0.0754166702106224,100,5,5,0,0,1,0
8.2369958524811,0.463748734029368,0.0282559699971238,100,5,5,0,0,1,0
8.4789301874145,0.501065857576593,0.031207471719467,100,5,5,0,0,1,0
14.5808062067345,0.589999873851195,0.0641660272774925,100,5,5,0,0,1,0
19.1933845145529,0.756444728891728,0.10952113388339,100,5,5,0,0,1,0
6.78753543273009,0.397809327095058,0.0200734113370878,100,5,5,0,0,1,0
9.14971076594222,0.456305099279473,0.030090543576298,100,5,5,0,0,1,0
9.48594846606734,0.480363797018062,0.0329667807979755,100,5,5,0,0,1,0
9.23531007926195,0.475181384090537,0.0315494281057026,100,5,5,0,0,1,0
10.9113414992106,0.5432821814925,0.0434562902905697,100,5,5,0,0,1,0
9.46824087046336,0.47279600885963,0.032449261129701,100,5,5,0,0,1,0
7.50811104927034,0.462761472938052,0.0258322116969136,100,5,5,0,0,1,0
12.9863059289413,0.581295751340637,0.0546990232191134,100,5,5,0,0,1,0
6.96097303543071,0.424771487647851,0.0218318731916169,100,5,5,0,0,1,0
16.2590798767386,0.634347309951631,0.0778012232911839,100,5,5,0,0,1,0
7.14412938548056,0.398984187333757,0.0203936434110556,100,5,5,0,0,1,0
7.89521553345883,0.470842430726567,0.0289577352816892,100,5,5,0,0,1,0
15.9060820803273,0.609158898196789,0.073324644993579,100,5,5,0,0,1,0
14.3333097337751,0.565710576632576,0.0613799497534927,100,5,5,0,0,1,0
8.9191988653186,0.463955760108874,0.0299340882218588,100,5,5,0,0,1,0
17.1626315308907,0.666655309238234,0.0862306993749973,100,5,5,0,0,1,0
12.9640835713884,0.66024257489421,0.060778904984021,100,5,5,0,0,1,0
7.53315562939037,0.454767221399278,0.0248876625638042,100,5,5,0,0,1,0
11.3714851754405,0.573571011544006,0.0465376873465141,100,5,5,0,0,1,0
16.8849469693226,0.652992001449999,0.084811246600833,100,5,5,0,0,1,0
7.2099088243066,0.445085988849689,0.0241908076668001,100,5,5,0,0,1,0
13.357080540442,0.565504718227534,0.0554613673103637,100,5,5,0,0,1,0
6.87421252829777,0.461903286445586,0.0243872743805501,100,5,5,0,0,1,0
7.18766075840801,0.398658623134057,0.0213274039700081,100,5,5,0,0,1,0
9.77748630995286,0.50796594794439,0.036440679455783,100,5,5,0,0,1,0
12.4235356351003,0.579600757392224,0.0532382438169233,100,5,5,0,0,1,0
7.77104704086935,0.463049587601281,0.0267212793203621,100,5,5,0,0,1,0
10.9384899340552,0.515030834868507,0.0400068599499915,100,5,5,0,0,1,0
9.28829656708452,0.438730995359188,0.0296319996792276,100,5,5,0,0,1,0
7.25217953919063,0.435588672020094,0.0230974430008324,100,5,5,0,0,1,0
10.5370829249343,0.544093941248891,0.04186833932791,100,5,5,0,0,1,0
10.5021360296456,0.561882059722853,0.0437558262892913,100,5,5,0,0,1,0
6.67262846988066,0.398529628367639,0.0200525865118106,100,5,5,0,0,1,0
13.0326928533088,0.596785752308609,0.0579140673427984,100,5,5,0,0,1,0
10.6197240775531,0.469064242816304,0.0369741634950108,100,5,5,0,0,1,0
9.64170399602644,0.558212165075715,0.0389319963144454,100,5,5,0,0,1,0
12.3422383575403,0.508415481778511,0.0464606346722109,100,5,5,0,0,1,0
6.98477872088146,0.410771879215316,0.0215183650832105,100,5,5,0,0,1,0
12.3524335423749,0.568776001845888,0.0524674406660993,100,5,5,0,0,1,0
10.1272214830914,0.508583195666668,0.0371446546878408,100,5,5,0,0,1,0
7.14496665859861,0.388990981038215,0.0204610556727322,100,5,5,0,0,1,0
21.61060370976,0.680197042791533,0.119007671014234,100,5,5,0,0,1,0
11.5082739589421,0.508179432201888,0.0436968879089926,100,5,5,0,0,1,0
5.30316837676745,0.348072172831731,0.0138829456815728,100,5,5,0,0,1,0
7.15876354011306,0.450404032594008,0.0243647546346007,100,5,5,0,0,1,0
5.16159802031618,0.371629161656096,0.015044303072838,100,5,5,0,0,1,0
6.51984229121805,0.441142380997188,0.0216271568783224,100,5,5,0,0,1,0
5.42352397836451,0.414578997963257,0.0178603031722262,100,5,5,0,0,1,0
19.876467230996,0.622489915389694,0.099884343824679,100,5,5,0,0,1,0
9.45333530537955,0.462285630278751,0.0320645735806393,100,5,5,0,0,1,0
4.34078981025678,0.340778115225665,0.0115595633087754,100,5,5,0,0,1,0
13.0460285527565,0.614857267156118,0.0595840672765339,100,5,5,0,0,1,0
7.9193338431454,0.445268239655642,0.0255444120262632,100,5,5,0,0,1,0
12.1069823602955,0.511075490994094,0.0458599166727518,100,5,5,0,0,1,0
6.05037690592387,0.393990017615421,0.0182806281908924,100,5,5,0,0,1,0
10.3630455051727,0.467087821810007,0.0361490433116899,100,5,5,0,0,1,0
10.3712732378124,0.48082729855901,0.0358325079846788,100,5,5,0,0,1,0
21.0847349360903,0.812206874211383,0.13031648080927,100,5,5,0,0,1,0
6.8302032207391,0.437963097613336,0.0224192815226572,100,5,5,0,0,1,0
13.3951311077756,0.544410837367446,0.0544527367980401,100,5,5,0,0,1,0
