"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23"
0.0533082516042739,0.0535289678768622,3.36625435643633e-08,-0.0446062378666871,0,0.00419933498456719,0.000256917162429096,0.000126766948702545,7.99208588087347e-08,0.00844509657515773,0.0534022009281596,0.00419938140232126,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0547983898364192,0.0547352587032331,3.50764006052879e-08,0.181549927156608,0,0.00437571082270845,9.44625695518824e-06,0.000127138001878072,8.24288970646328e-08,0.236338870736072,0.054608120701355,0.00437575833815448,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0503181278827695,0.0503205984690868,2.91817029707633e-08,0.12748978645389,0,0.00364035908219678,1.42040917623917e-05,0.000117906987632373,6.92340565992409e-08,0.177793710244897,0.0502026914814545,0.00364039927130263,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0481510238055592,0.048095359617103,2.64589118212818e-08,-0.0379790449404661,0,0.00330069633188127,1.08403927337046e-05,0.000115826708987526,6.39220932578008e-08,0.0101611384723595,0.0479795329081155,0.00330073392250322,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0438892157091142,0.0440408444516445,2.18642664066088e-08,0.0202406359776924,0,0.00272752350569164,0.000195419388661068,0.000102465309003584,5.19944208315589e-08,0.0639344322981455,0.0439383791426409,0.00272755373758475,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0470390175506871,0.0469867537906378,2.50925300169756e-08,0.126931455822311,0,0.00313024293455767,9.92740463347996e-06,0.000109008785025415,5.94324627345547e-08,0.173960545968365,0.0468777450056124,0.00313027739091922,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0523445514878878,0.052357444867032,3.16632182789164e-08,0.167881094242473,0,0.00394992315385826,4.94200060322334e-05,0.000123974653445733,7.55294873153201e-08,0.220176225724329,0.0522334702135863,0.00394996717007489,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0510769538210045,0.0512707549972652,3.03034186637799e-08,0.046144123638401,0,0.00378029087146921,0.000247698868016084,0.000118985759588749,7.14938122810126e-08,0.0969733785913894,0.0511517692376764,0.00378033220251515,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0495473070073009,0.049471874574989,2.83862981139235e-08,-0.017575410572781,0,0.00354113391711573,2.75506976274229e-06,0.00011461101794007,6.6785347960947e-08,0.0319691413647571,0.0493572635570489,0.0035411724476901,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0421922740628696,0.0421404228039919,2.02026104877012e-08,-0.032494361527545,0,0.00252023525311975,5.54169349950704e-06,9.9681901095884e-05,4.83780299187425e-08,0.0096923708418251,0.042040740902896,0.00252026352411652,500,5,5,5,0.9,0.9,0.9,0,0,0
