"C_XY","E_C_XY","Var_C_XY","n","p1","p2","m_A","sd_A","sd_E"
1624.82151515875,2804.50888613201,631470.006497858,100,5,5,0,0,1
2676.79626755076,2594.98631947745,535988.366351523,100,5,5,0,0,1
2958.23542200755,2183.86850467642,369091.307381243,100,5,5,0,0,1
2176.38471062343,2131.76539164776,351658.457336586,100,5,5,0,0,1
1227.9856646473,2241.38671046343,387086.263214637,100,5,5,0,0,1
2947.85820920459,2250.60229283922,437212.968729417,100,5,5,0,0,1
1934.58149070992,2573.3251945327,549308.283830879,100,5,5,0,0,1
1154.20987500622,2464.70325134616,493136.359055108,100,5,5,0,0,1
2698.90842030265,2478.98261015921,493460.575228934,100,5,5,0,0,1
3543.13956592662,2685.37743715677,581205.003078454,100,5,5,0,0,1
1869.17026784871,2214.39282265341,388054.852199916,100,5,5,0,0,1
2461.1464387771,2390.97610230367,472702.507769122,100,5,5,0,0,1
2442.2854145736,2526.00370666541,505591.3269827,100,5,5,0,0,1
1960.36169522519,2577.29747119489,520207.076256755,100,5,5,0,0,1
1499.41759257583,2315.44375409778,422879.988202675,100,5,5,0,0,1
3002.22227944928,2187.25355313613,372767.957344958,100,5,5,0,0,1
1480.21459825009,2283.59293795558,406707.717064727,100,5,5,0,0,1
2027.7080097105,2425.46750227875,467956.73206845,100,5,5,0,0,1
3754.42463583904,2601.24474149496,561216.379441066,100,5,5,0,0,1
2516.95378912966,2462.38985834454,489142.160303424,100,5,5,0,0,1
2102.08683004622,2658.36984856977,570673.030401574,100,5,5,0,0,1
3605.29196904329,2484.7095280533,506009.285141272,100,5,5,0,0,1
3606.80144333058,2800.01945727364,617671.896660851,100,5,5,0,0,1
1272.42137489638,2184.70412721331,373245.901342286,100,5,5,0,0,1
2907.09991288707,2704.96719229406,610450.843079321,100,5,5,0,0,1
2061.08252514643,2196.55031195079,395363.057979928,100,5,5,0,0,1
1910.7622069957,1993.09182569218,305250.051106112,100,5,5,0,0,1
2466.52803224365,2103.79062428378,334268.849265281,100,5,5,0,0,1
2675.52650912861,2491.85116767437,489416.318590476,100,5,5,0,0,1
2942.87458876618,2828.72824633371,618636.922697348,100,5,5,0,0,1
2593.774792142,2695.26501633751,567978.17716249,100,5,5,0,0,1
1975.48555971204,2369.1185785745,449333.122789172,100,5,5,0,0,1
2323.1814226117,3263.80641702275,834067.047129028,100,5,5,0,0,1
1740.02765987375,2452.32987754445,501887.611330504,100,5,5,0,0,1
2399.91288433836,2327.26101433397,420475.217193938,100,5,5,0,0,1
2875.23989035108,2536.60957755641,563745.976000222,100,5,5,0,0,1
2916.76630218548,2733.81205283224,593392.870795879,100,5,5,0,0,1
2287.21469364962,2443.70768766106,468689.394668057,100,5,5,0,0,1
2172.09346220596,2440.80748291363,449856.235916886,100,5,5,0,0,1
2146.90446182891,2713.38078293176,589380.210974146,100,5,5,0,0,1
2547.12064450637,2807.13632033294,603807.849937521,100,5,5,0,0,1
1661.82965128532,2546.63454246254,534840.302824683,100,5,5,0,0,1
2997.21636823176,2362.9515333597,439485.746090076,100,5,5,0,0,1
2602.4473522443,2476.94980807882,493161.329539319,100,5,5,0,0,1
2162.92394561517,2690.02943687551,586371.136410998,100,5,5,0,0,1
2950.72276335506,2441.56656422803,495902.180001244,100,5,5,0,0,1
3704.06343494231,2407.80567026526,447813.223601045,100,5,5,0,0,1
1671.12908531481,2186.46897798961,384234.075848081,100,5,5,0,0,1
3196.46655084602,2678.17159124156,551467.390634583,100,5,5,0,0,1
2779.58768810717,2503.50233194335,517454.991582237,100,5,5,0,0,1
2513.04311192356,2071.30014428299,357981.460438302,100,5,5,0,0,1
2674.71925669947,2427.08248608611,487291.50178649,100,5,5,0,0,1
3739.73878862263,2467.67181191591,476800.369202813,100,5,5,0,0,1
2649.41763312321,2511.32788592551,510279.279783083,100,5,5,0,0,1
3549.85252405946,2572.60820427152,514120.303957801,100,5,5,0,0,1
3222.17201208263,2662.85182932331,612055.02883951,100,5,5,0,0,1
1535.22603930945,2531.42530866307,555698.097426825,100,5,5,0,0,1
2306.39690785324,2153.62516936686,370175.951915939,100,5,5,0,0,1
1707.22502219031,2258.18357612484,396491.092780535,100,5,5,0,0,1
1488.56387695085,2533.70882521883,540000.753634631,100,5,5,0,0,1
1617.07977181621,2395.18572838025,452016.059533085,100,5,5,0,0,1
2184.27188630687,3134.45597086114,803462.655870038,100,5,5,0,0,1
2165.00653421157,2614.6323371762,533968.080312881,100,5,5,0,0,1
3732.26355062303,2607.14724917586,535818.649628725,100,5,5,0,0,1
2049.783212251,2125.34099306763,362309.069200305,100,5,5,0,0,1
3289.35606545799,2697.2532943744,566080.758746032,100,5,5,0,0,1
5471.12702093988,2620.80258490023,543649.266795526,100,5,5,0,0,1
2269.5990350438,2326.03937707159,411082.508261211,100,5,5,0,0,1
3342.83854125748,2710.9938316779,570402.594118079,100,5,5,0,0,1
2650.27506101475,3052.12431723387,728353.992374492,100,5,5,0,0,1
2822.26204485759,2584.29224436677,524227.869124544,100,5,5,0,0,1
1707.84970350821,2081.12376343181,331373.371683247,100,5,5,0,0,1
2051.41313499682,2791.48754039505,609572.700780582,100,5,5,0,0,1
2489.95680255256,2133.17292423641,353648.564646517,100,5,5,0,0,1
2304.55188568203,2761.71508710501,606588.342715981,100,5,5,0,0,1
4057.42424192176,2571.27584930765,543219.834823646,100,5,5,0,0,1
2362.00932463079,2652.62915518781,557511.146023228,100,5,5,0,0,1
2903.60759840682,2756.48941936847,593625.248569733,100,5,5,0,0,1
2122.07296124843,2753.69573311596,603807.223014053,100,5,5,0,0,1
2412.28318606811,2076.395568949,362486.188111127,100,5,5,0,0,1
2055.64799822253,2024.02620617558,343158.178920367,100,5,5,0,0,1
2603.9846128762,2129.97788245849,373457.168142675,100,5,5,0,0,1
2902.27482374437,2647.71352827499,590673.195783909,100,5,5,0,0,1
2396.28146799176,2176.88405819624,390934.365396659,100,5,5,0,0,1
1677.30254433443,2210.42451368744,392339.892677392,100,5,5,0,0,1
2347.15054383166,2515.84389241117,519109.106041258,100,5,5,0,0,1
2536.68668147282,2477.14517630166,463461.582975524,100,5,5,0,0,1
5051.73068772555,2820.69697713705,640469.993267704,100,5,5,0,0,1
3121.107850573,2694.68126073999,574468.557575251,100,5,5,0,0,1
1384.25984219046,2350.05443354648,457433.342308665,100,5,5,0,0,1
2275.68740724491,2404.17991639973,464926.323544127,100,5,5,0,0,1
2369.66436749368,2931.28279721435,678175.48498917,100,5,5,0,0,1
2155.25708015735,2385.00094805642,450336.870382624,100,5,5,0,0,1
1577.10221543954,2526.61671846517,507191.575526647,100,5,5,0,0,1
2196.70084231277,2281.71387852191,399782.240537889,100,5,5,0,0,1
2873.74892843868,2401.79048269195,456167.109124584,100,5,5,0,0,1
4940.37874451516,2913.20037773318,666961.023387867,100,5,5,0,0,1
2551.31411105563,2713.14928931601,581419.486648308,100,5,5,0,0,1
1820.5524057578,2455.66367066404,494136.530598717,100,5,5,0,0,1
2229.19508696394,2306.35588543592,438164.310696954,100,5,5,0,0,1
1756.4901086341,2176.42987523941,390708.509576386,100,5,5,0,0,1
2833.40726686662,2490.10885883654,496660.706875722,100,5,5,0,0,1
3686.41858825475,2741.43393220491,582862.484066625,100,5,5,0,0,1
2852.44226493891,2557.72226136357,510090.351307269,100,5,5,0,0,1
3913.21251959711,2596.055497289,550239.23720064,100,5,5,0,0,1
1503.31039069887,2427.11882013884,477372.015445936,100,5,5,0,0,1
2506.87268911888,2476.62746452967,465110.023286694,100,5,5,0,0,1
1083.83726893413,2146.43343316918,362416.883736235,100,5,5,0,0,1
2306.50557937399,2466.94927634001,470820.350055244,100,5,5,0,0,1
2872.41150813476,2912.83063678186,688779.747253133,100,5,5,0,0,1
2377.07038533542,2371.05480137136,461660.238467945,100,5,5,0,0,1
1345.47012620476,2886.30333978274,665234.204071542,100,5,5,0,0,1
3929.71121935811,2525.2015014558,531102.118481788,100,5,5,0,0,1
2240.76471927577,2791.64537513807,609497.236441323,100,5,5,0,0,1
1348.09045852831,2327.21962774458,436401.415733155,100,5,5,0,0,1
4200.39411895377,2883.87559263534,629789.531615372,100,5,5,0,0,1
4734.00248517094,2910.62234086638,671823.460103829,100,5,5,0,0,1
1485.00114326315,2618.10248723676,551350.64104039,100,5,5,0,0,1
2755.5067621617,2356.51580515075,428444.439619965,100,5,5,0,0,1
1580.87818804264,2552.68995597561,496720.10695429,100,5,5,0,0,1
2336.31252898177,2729.17923586685,598712.016541098,100,5,5,0,0,1
1598.52639041065,2392.14904497081,452466.28167069,100,5,5,0,0,1
1839.29009094118,2123.47307638189,358587.271936388,100,5,5,0,0,1
2761.40236599485,2876.84401332362,665125.693943296,100,5,5,0,0,1
2609.59910865577,2777.91683884618,601029.860098856,100,5,5,0,0,1
2286.63708624728,2762.68354153213,582737.387315144,100,5,5,0,0,1
1869.95298946125,2018.71499151151,329524.452575109,100,5,5,0,0,1
1878.78835542303,2140.0886606941,381512.709122147,100,5,5,0,0,1
