"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12"
0.0347310916350799,0.0563398580182704,0.00161221288501076,500,5,5,0.6,0.6,0
0.0536450232271499,0.0527146469766644,0.00145878587530237,500,5,5,0.6,0.6,0
0.0236341812175882,0.0505117786850352,0.0012239940235082,500,5,5,0.6,0.6,0
0.0344903488148307,0.0526854432575922,0.00127303906805393,500,5,5,0.6,0.6,0
0.0221315474691049,0.0455795908102185,0.000909147384433997,500,5,5,0.6,0.6,0
0.0432877189330873,0.0461068518654374,0.00101850507667854,500,5,5,0.6,0.6,0
0.0321335664865467,0.0525990237655959,0.00134012840324682,500,5,5,0.6,0.6,0
0.0765516251453768,0.0454692632424953,0.000883957474167005,500,5,5,0.6,0.6,0
0.0229711092259666,0.048347223389368,0.00108199850060963,500,5,5,0.6,0.6,0
0.0465796920399803,0.05216193033345,0.00133604573730601,500,5,5,0.6,0.6,0
0.053337584088716,0.0479030223957925,0.00110478272285988,500,5,5,0.6,0.6,0
0.0537362575216125,0.0482951415297096,0.00108461108771746,500,5,5,0.6,0.6,0
0.153577862085809,0.0464258779885415,0.00104460760639796,500,5,5,0.6,0.6,0
0.0477489784371547,0.0486259171792291,0.00107199187935547,500,5,5,0.6,0.6,0
0.0351340918383707,0.0467552388090077,0.000974126998199533,500,5,5,0.6,0.6,0
0.143112229029444,0.0508378449195236,0.00121753915543984,500,5,5,0.6,0.6,0
0.0456394569425814,0.0451650420187861,0.000905660325895058,500,5,5,0.6,0.6,0
0.0555735448677931,0.0456124132662114,0.000934471989477612,500,5,5,0.6,0.6,0
0.132824617016988,0.0446122923564721,0.000885996230627861,500,5,5,0.6,0.6,0
0.0316425764228928,0.0476245448893403,0.00104094252752503,500,5,5,0.6,0.6,0
0.0534374381766842,0.0483461113360188,0.0011152728954041,500,5,5,0.6,0.6,0
0.0446074482428,0.0561685518179366,0.00168066628060243,500,5,5,0.6,0.6,0
0.0593128709293027,0.0469471573121274,0.000977066372655422,500,5,5,0.6,0.6,0
0.0311497809912972,0.0546587749807228,0.00145560990099854,500,5,5,0.6,0.6,0
0.0333342590027077,0.0439673821419099,0.000804405368633016,500,5,5,0.6,0.6,0
0.0848421350472009,0.0490528468226177,0.00111831138106678,500,5,5,0.6,0.6,0
0.109563025464965,0.0506982413450524,0.00124057650154106,500,5,5,0.6,0.6,0
0.0344030972376346,0.0467920068803659,0.00103348844795115,500,5,5,0.6,0.6,0
0.0231629491804147,0.0482116234074056,0.00108291251727816,500,5,5,0.6,0.6,0
0.0534184456036648,0.0510535491133514,0.00126078046240044,500,5,5,0.6,0.6,0
0.0293124019594213,0.0447595870528413,0.000845732235695622,500,5,5,0.6,0.6,0
0.0783148165245587,0.0498061119748003,0.00115734272807452,500,5,5,0.6,0.6,0
0.0180001923496661,0.0476804913403437,0.00104545915472343,500,5,5,0.6,0.6,0
0.0238289669914512,0.0477960692951242,0.00104590318852056,500,5,5,0.6,0.6,0
0.0626416558143926,0.0503989082688118,0.00119460461485026,500,5,5,0.6,0.6,0
0.0366527560866343,0.0536526025449595,0.00149219233827763,500,5,5,0.6,0.6,0
0.0610698410728567,0.0444036325107509,0.000840187189051681,500,5,5,0.6,0.6,0
0.0248842963719817,0.0463583321605322,0.000935228693260725,500,5,5,0.6,0.6,0
0.0468781718492411,0.0468676867787024,0.00101929363746557,500,5,5,0.6,0.6,0
0.0640339033089281,0.050602834876195,0.0011785526463848,500,5,5,0.6,0.6,0
0.0527482787425641,0.0516415245294876,0.00125036307689762,500,5,5,0.6,0.6,0
0.0457462506823741,0.0522513950961935,0.00135456016058213,500,5,5,0.6,0.6,0
0.0430747203596811,0.0471733034177172,0.00106647450304299,500,5,5,0.6,0.6,0
0.0621287049991386,0.0472573147731072,0.0010446358650434,500,5,5,0.6,0.6,0
0.114827290186918,0.0464287625797589,0.000987246106338054,500,5,5,0.6,0.6,0
0.0294018392190059,0.0442463817769655,0.000889155751586238,500,5,5,0.6,0.6,0
0.0684067056613175,0.0487618914668502,0.00111377569077935,500,5,5,0.6,0.6,0
0.0287932344620845,0.0494652187698815,0.00111780672218003,500,5,5,0.6,0.6,0
0.0461322079739228,0.0544082269094045,0.00153343483781351,500,5,5,0.6,0.6,0
0.0238047450946264,0.0451951357863938,0.000892889754535301,500,5,5,0.6,0.6,0
0.0563494878271825,0.049548901809011,0.00111929868588791,500,5,5,0.6,0.6,0
0.0386410694302826,0.0451095879732309,0.000979411591661444,500,5,5,0.6,0.6,0
0.0382561374008384,0.0457379130872433,0.000869977274891799,500,5,5,0.6,0.6,0
0.0253887887309361,0.0552794568113821,0.00158176933758895,500,5,5,0.6,0.6,0
0.173521789702821,0.0486283700151987,0.00103824800312307,500,5,5,0.6,0.6,0
0.0955904678866127,0.0459990226275951,0.000991055213847856,500,5,5,0.6,0.6,0
0.0327529744722899,0.0527590924812099,0.00135039235012192,500,5,5,0.6,0.6,0
0.108395673288834,0.0553608897368846,0.00160189172496609,500,5,5,0.6,0.6,0
0.0173051695233513,0.0467307496698166,0.000983242293526475,500,5,5,0.6,0.6,0
0.154486255763646,0.0515814554113843,0.00137103684090779,500,5,5,0.6,0.6,0
0.0461292921892094,0.0440011840054256,0.000976138264078936,500,5,5,0.6,0.6,0
0.0458164945199207,0.04756052904685,0.00106605051336181,500,5,5,0.6,0.6,0
0.19945000077135,0.0458935133016031,0.00100100311181268,500,5,5,0.6,0.6,0
0.229133507990087,0.0505284758396544,0.00126308649009917,500,5,5,0.6,0.6,0
0.0353891920993664,0.0495752626856387,0.00124002850990177,500,5,5,0.6,0.6,0
0.0710168742924761,0.0528885657166619,0.00129718843551309,500,5,5,0.6,0.6,0
0.0318596900232082,0.0406064243130307,0.000738742511746691,500,5,5,0.6,0.6,0
0.156849356006638,0.0497026710690078,0.00112927067626751,500,5,5,0.6,0.6,0
0.102331275803808,0.0452243095357313,0.000892565981478025,500,5,5,0.6,0.6,0
0.0307983223278252,0.044932681178536,0.000826694582252294,500,5,5,0.6,0.6,0
0.0653346952318608,0.0461827981424153,0.000946091489662701,500,5,5,0.6,0.6,0
0.155193741757548,0.0566830907522002,0.00167727237547616,500,5,5,0.6,0.6,0
0.163310736918515,0.0483413284706118,0.00103468676460823,500,5,5,0.6,0.6,0
0.0439915587225624,0.0421847200705608,0.000752475235258951,500,5,5,0.6,0.6,0
0.0305059151376796,0.0534348584314164,0.00138439571750821,500,5,5,0.6,0.6,0
0.0359936888083928,0.0478572389556451,0.00110339425197253,500,5,5,0.6,0.6,0
0.0451141106174744,0.0532220010156696,0.00141150914200662,500,5,5,0.6,0.6,0
0.0504549719751716,0.043279957501139,0.000768256055348557,500,5,5,0.6,0.6,0
0.0566915550699237,0.0443092376644295,0.000822935185312312,500,5,5,0.6,0.6,0
0.0398150762930393,0.0471200642224949,0.000942867341265786,500,5,5,0.6,0.6,0
0.106900993231394,0.0467523268250201,0.000986874300069642,500,5,5,0.6,0.6,0
0.0255843549426615,0.0494984507886988,0.00121235927124482,500,5,5,0.6,0.6,0
0.0601106380002515,0.0496647764238681,0.00113484218710617,500,5,5,0.6,0.6,0
0.0206613172314387,0.0528497018541157,0.00140662021814229,500,5,5,0.6,0.6,0
0.0504764239897196,0.0518012068858194,0.00133158507174677,500,5,5,0.6,0.6,0
0.0385877669673477,0.0499450693279958,0.00122081341990553,500,5,5,0.6,0.6,0
0.0450216956318243,0.0572053023952621,0.00161546712364775,500,5,5,0.6,0.6,0
0.051936831892248,0.0499537991413775,0.00120363317369649,500,5,5,0.6,0.6,0
0.115722114053556,0.0483000668359559,0.00109940637733562,500,5,5,0.6,0.6,0
0.0369344049081465,0.0568869005291269,0.00170747552046585,500,5,5,0.6,0.6,0
0.140866637792105,0.0520486648020495,0.00132883920678875,500,5,5,0.6,0.6,0
0.0313803120941218,0.0494642135475241,0.00115327001800497,500,5,5,0.6,0.6,0
0.0877174557769287,0.0529948583220221,0.00137555150820356,500,5,5,0.6,0.6,0
0.0554966431760236,0.0478419800461902,0.00106770616448931,500,5,5,0.6,0.6,0
0.0372324347699528,0.0483433471551386,0.00109612781829347,500,5,5,0.6,0.6,0
0.0166099813459495,0.0462322823007108,0.000942408447323175,500,5,5,0.6,0.6,0
0.0401220176903798,0.0452110768899736,0.000887496458471119,500,5,5,0.6,0.6,0
0.186395381098347,0.0507381159955909,0.00123586784918776,500,5,5,0.6,0.6,0
0.0387314391862724,0.0461344992813054,0.000962716355613505,500,5,5,0.6,0.6,0
0.0383006490213638,0.0487868099621763,0.00115751736177522,500,5,5,0.6,0.6,0
0.0314956496700191,0.0453901612728343,0.000940556495094735,500,5,5,0.6,0.6,0
0.102468872571448,0.0431084872764908,0.000763076966596178,500,5,5,0.6,0.6,0
0.0308734264445206,0.0484347191411458,0.00116304878385199,500,5,5,0.6,0.6,0
0.0296761130633866,0.0449664490942387,0.000822334952280402,500,5,5,0.6,0.6,0
0.078562563309598,0.052694642621598,0.00141429787439223,500,5,5,0.6,0.6,0
0.0884635654131978,0.0572000831240177,0.00170438315553651,500,5,5,0.6,0.6,0
0.0902733392006542,0.0491334834355803,0.00105371327136504,500,5,5,0.6,0.6,0
0.0404319800337402,0.0519790613920212,0.00136642024631666,500,5,5,0.6,0.6,0
0.0592769550075379,0.0479351132777294,0.0010549990568848,500,5,5,0.6,0.6,0
0.0562540834880373,0.0468083270452206,0.00100369784608348,500,5,5,0.6,0.6,0
0.0300391615488593,0.0485956428047463,0.00115780239626419,500,5,5,0.6,0.6,0
0.0620255687121328,0.0557231979709293,0.00157646230119227,500,5,5,0.6,0.6,0
0.145366272341153,0.0459265135295722,0.000973882371325264,500,5,5,0.6,0.6,0
0.0993000079885169,0.0543482949231764,0.00140732382722748,500,5,5,0.6,0.6,0
